,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,272.9442645659172,216.94930179102894,3.7073375855835753,0.0,0.0,0.0
std,0.9855329843500112,0.9900160118271953,0.014845976053087384,0.0,0.0,0.0
