True,Pred
4462,4740.291
4642,4654.632
4369,4629.974
4672,4511.6113
4661,4632.29
4655,4643.6694
4716,4652.541
4377,4691.51
4484,4579.938
4911,4519.028
5218,4804.7773
5759,5114.7134
5456,5599.254
5359,5542.7583
5305,5416.1763
5769,5321.5977
5565,5641.2
5367,5573.2373
5633,5457.6245
5664,5558.3765
6082,5594.788
6505,5878.3813
5813,6164.886
6379,6282.373
6091,6116.517
6219,6018.152
6052,6029.3003
6105,5948.3496
6030,5950.1504
5969,5907.8496
5707,5867.97
5681,5757.6914
6052,5661.5205
5904,5863.678
5426,5819.5347
6005,5801.26
5766,5830.8247
5946,5746.008
5981,5818.604
6104,5842.417
5991,5926.791
5670,5885.5967
5709,5784.9263
5416,5673.542
5793,5537.3623
