,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,275.31333340490056,220.50454101562497,3.958494305987007,0.0,0.0,0.0
median,266.22739084307307,217.7923673304116,3.911845056331826,0.0,0.0,0.0
std,20.87727821201915,23.645143563233376,0.45206195648458564,0.0,0.0,0.0
