,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,511.0164444127676,442.0376954856493,7.996647553092794,0.0,0.0,0.0
median,471.51325400892586,388.91469362948806,6.958535059491959,0.0,0.0,0.0
std,227.44699376020282,234.22142068490552,4.22102892664921,0.0,0.0,0.0
