strategy,seed_config,seed1,seed2,trial,final_loss,train_rmse,train_mae,train_mape,test_rmse,test_mae,test_mape
shared,shared_42,42,42,0,964927.0,854.7162150568944,784.8862101236979,13.084392908351909,3777.342483883677,3691.93017578125,41.52762524309237
shared,shared_42,42,42,1,943041.75,774.0722446048508,698.9979248046875,11.626079620497498,3689.795114441372,3602.3076171875,40.49714629505429
shared,shared_42,42,42,2,1249545.125,576.8004426637358,491.9115397135417,8.142180850928941,3462.502710630593,3369.1181640625,37.815937165117845
shared,shared_42,42,42,3,1111936.0,1160.6556794088208,1105.111328125,18.54313037510751,4098.0160721753355,4019.423828125,45.29314276068613
shared,shared_42,42,42,4,1235036.375,449.8066607296754,378.3422037760417,6.308694347236039,3289.303909343356,3190.8544921875,35.76626391376785
shared,shared_42,42,42,5,1373800.75,502.42463017145565,426.96974690755206,7.089822984162751,3366.2260408425796,3270.09326171875,36.677350197752716
shared,shared_42,42,42,6,1065815.25,560.234008174633,476.7145182291667,7.893081408986935,3441.875389368086,3347.91552734375,37.57214953927456
shared,shared_42,42,42,7,1251764.625,456.886272478178,384.9759114583333,6.414597091476389,3300.3367669510485,3202.2265625,35.897019822062774
shared,shared_42,42,42,8,1157731.875,526.6635396551704,447.8947347005208,7.426673672473311,3398.7591830262945,3303.5732421875,37.06230255344432
shared,shared_42,42,42,9,1249856.75,581.0576883574115,495.9519449869792,8.208778448702141,3467.7448460417186,3374.50537109375,37.87787919758749
shared,shared_123,123,123,0,1990749.75,699.3394873308611,619.0050455729166,10.271724391116887,3606.5517607402944,3516.994140625,39.516213113040365
shared,shared_123,123,123,1,1683694.125,565.803414247715,481.6507975260417,7.973572984274348,3448.8523557158614,3355.087890625,37.654617273793406
shared,shared_123,123,123,2,1238510.75,365.6455152497643,297.0852864583333,5.0580014802750455,3107.301067392927,3002.890625,33.605057949915214
shared,shared_123,123,123,3,1348164.625,744.0098063506197,666.4075724283854,11.072721921601868,3656.601536742717,3568.30029296875,40.10613054816653
shared,shared_123,123,123,4,1087872.125,412.53841943942666,340.667724609375,5.708699030998906,3225.340879640494,3124.876953125,35.00765507561304
shared,shared_123,123,123,5,1858604.25,407.88527890048067,335.64699300130206,5.629236998377484,3216.3613707941045,3115.60791015625,34.90107974683836
shared,shared_123,123,123,6,1314994.0,730.0645534452865,651.4518229166666,10.819421388631024,3641.0777209908915,3552.390625,39.92320140432912
shared,shared_123,123,123,7,1354667.375,414.3426035744274,342.57069905598956,5.7388169957416295,3228.744750708469,3128.39013671875,35.04804961233188
shared,shared_123,123,123,8,1785621.25,752.6986716340257,675.8645629882812,11.233293936113343,3666.232033655498,3578.16845703125,40.21959456305018
shared,shared_123,123,123,9,1571450.75,374.74124829549595,291.62233479817706,5.143025868949045,2905.5054615682966,2793.56298828125,31.1982116573538
shared,shared_456,456,456,0,1425738.5,523.358900389034,445.09291585286456,7.381569961221846,3394.4019851235057,3299.09033203125,37.01075811402587
shared,shared_456,456,456,1,819808.9375,1098.6658665899974,1039.8154296875,17.42525436210764,4033.992501485729,3954.1279296875,44.54237141707746
shared,shared_456,456,456,2,1240697.375,1121.0606034037341,1063.4501953125,17.829885253132915,4057.162047284789,3977.7626953125,44.814123627687465
shared,shared_456,456,456,3,1374845.625,1176.484873626196,1121.724609375,18.827552353378803,4114.312016116478,4036.037109375,45.48416204036952
shared,shared_456,456,456,4,1012136.4375,633.9386179540977,549.5098673502604,9.101338447078762,3531.214383129478,3439.69580078125,38.627437862956924
shared,shared_456,456,456,5,1635101.625,704.1316606034569,624.0963948567709,10.357665644589316,3611.9682479562707,3522.54833984375,39.58007521938878
shared,shared_456,456,456,6,1185441.25,1373.1679157150388,1326.5517578125,22.334225230674623,4315.425526051851,4240.8642578125,47.83926178047262
shared,shared_456,456,456,7,1150159.375,1078.2439603015052,1018.2138671875,17.055432227181644,4012.8208839086315,3932.5263671875,44.2939969480793
shared,shared_456,456,456,8,1614375.875,1192.4682611077424,1138.47705078125,19.114356775331242,4130.7470221050835,4052.78955078125,45.67678138161856
shared,shared_456,456,456,9,1121286.375,1020.0554096921408,956.3798828125,15.996824725407485,3952.243330068512,3870.6923828125,43.583030644823175
shared,shared_789,789,789,0,2176884.0,670.066798100022,587.62890625,9.742099611475808,3573.1812459473667,3482.765625,39.12265411040088
shared,shared_789,789,789,1,1540383.625,355.6462161327429,289.9693603515625,5.033828697900241,2997.514925047396,2889.1396484375,32.297150783397385
shared,shared_789,789,789,2,1642976.875,439.8685398416057,347.1057942708333,6.185581328709907,2771.822129937131,2654.24755859375,29.596364759848903
shared,shared_789,789,789,3,1933103.5,437.5655164784927,366.4471028645833,6.118796948997938,3269.5263813798115,3170.462890625,35.53180155901423
shared,shared_789,789,789,4,1323672.125,438.4148882287407,345.5590413411458,6.157829065810064,2774.183914201561,2656.7138671875,29.624722342193156
shared,shared_789,789,789,5,1841750.75,456.1388826188976,364.8802083333333,6.502798151398569,2746.302182327372,2627.5859375,29.28980980662317
shared,shared_789,789,789,6,1743511.875,828.5951891533232,757.2807820638021,12.615675173364775,3749.1931139997396,3663.12451171875,41.19641811325338
shared,shared_789,789,789,7,1577881.625,372.4758251464607,302.11374918619794,5.1232822133379905,3131.4152134452097,3027.83642578125,33.891884424749
shared,shared_789,789,789,8,2136139.0,372.7140798297728,290.9679768880208,5.126551069486931,2911.703929131429,2800.00927734375,31.272331000475713
shared,shared_789,789,789,9,1725005.25,623.2352949598504,538.1647745768229,8.91089932166552,3518.585820575035,3426.72998046875,38.478357039046955
shared,shared_321,321,321,0,1629782.5,786.5111037802511,712.3818359375,11.853327555136646,3703.431029798773,3616.2734375,40.65772510523253
shared,shared_321,321,321,1,1545823.625,801.2228770029052,728.1419270833334,12.12092109540119,3719.491004735715,3632.71875,40.84681308253493
shared,shared_321,321,321,2,1166740.0,917.6161356358676,850.6756998697916,14.201444980605283,3844.467497807592,3760.580078125,42.31696087755883
shared,shared_321,321,321,3,956148.75,543.9454960287071,462.5407002766927,7.662935379778789,3421.198602436186,3326.65478515625,37.32769381754948
shared,shared_321,321,321,4,953406.5,631.3269288686046,546.7498575846354,9.055008826299614,3528.1419083957726,3436.54150390625,38.59116980080213
