,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,840.9141258638967,400.5045312698409,7.956736415485265,0.0,0.0,0.0
median,840.914125863897,400.50453126984104,7.956736415485264,0.0,0.0,0.0
std,2.312606865032684e-13,1.156303432516342e-13,9.033620566533923e-16,0.0,0.0,0.0
