Horizon,Horizon_Months,Best_RMSE_Model,Best_RMSE_Value,Best_MAPE_Model,Best_MAPE_Value
2020,12,LSTM,1538.40 ± 647.19,LSTM,15.98% ± 8.53%
2020-2021,24,LSTM,1824.72 ± 112.72,LSTM,18.70% ± 1.29%
2020-2022,36,LSTM,1786.59 ± 161.22,LSTM,18.52% ± 1.90%
2020-2023,48,LSTM,1813.20 ± 1355.75,LSTM,18.03% ± 11.16%
