,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,758.6968931079687,678.7076429578992,11.5234563699155,0.0,0.0,0.0
median,661.286937003764,590.9529622395834,9.971634458615252,0.0,0.0,0.0
std,426.9317593261868,434.6005302129847,7.414868685733569,0.0,0.0,0.0
