True,Pred
4377,4900.5015
4484,4672.1763
4911,4674.153
5218,4975.748
5759,5308.6973
5456,5558.518
5359,5593.648
5305,5573.341
5769,5549.1997
5565,5703.0356
5367,5714.849
5633,5650.0723
5664,5726.575
6082,5774.365
6505,5948.202
5813,6151.389
6379,6022.265
6091,6151.8813
6219,6114.6216
6052,6139.807
6105,6092.4995
6030,6095.6904
5969,6072.089
5707,6041.9634
5681,5931.651
6052,5871.7266
5904,5990.9
5426,5985.424
6005,5803.8115
5766,5937.2124
5946,5909.2305
5981,5960.2705
6104,5994.4507
5991,6053.189
5670,6037.009
5709,5909.7866
5416,5866.688
5793,5743.136
