model_name,n_trials,n_seeds,mean_rmse,std_rmse,cv_rmse,total_evaluations
LSTM_Config2,5,5,891.71814,1246.4849,1.3978462,25
LSTM_Config2,10,5,762.59796,1028.1838,1.3482646,50
LSTM_Config2,15,5,744.82513,988.9326,1.3277379,75
LSTM_Config2,20,5,791.75226,1113.6079,1.4065106,100
LSTM_Config2,25,5,737.7389,1015.2354,1.3761446,125
LSTM_Config2,30,5,705.865,990.76385,1.4036167,150
LSTM_Config2,35,5,684.8792,937.5617,1.3689446,175
LSTM_Config2,40,5,670.8786,917.9993,1.3683538,200
LSTM_Config2,45,5,658.6504,884.04144,1.3422014,225
LSTM_Config2,50,5,631.87415,843.581,1.3350459,250
LSTM_Config2,5,10,734.9243,1199.8452,1.6326106,50
LSTM_Config2,10,10,622.95526,937.3713,1.5047169,100
LSTM_Config2,15,10,650.5901,941.69977,1.4474548,150
LSTM_Config2,20,10,676.4387,995.7422,1.472036,200
LSTM_Config2,25,10,631.8748,905.6883,1.433335,250
LSTM_Config2,30,10,610.3808,875.94775,1.4350841,300
LSTM_Config2,35,10,598.7931,829.3478,1.3850323,350
LSTM_Config2,40,10,609.93225,847.0449,1.3887525,400
LSTM_Config2,45,10,611.5961,850.7728,1.3910697,450
LSTM_Config2,50,10,599.3447,821.49054,1.3706478,500
LSTM_Config2,5,15,707.3594,1074.1891,1.5185903,75
LSTM_Config2,10,15,650.5802,911.3985,1.4009011,150
LSTM_Config2,15,15,644.71454,881.798,1.367734,225
LSTM_Config2,20,15,644.77625,901.1765,1.3976578,300
LSTM_Config2,25,15,611.0115,829.69525,1.3579046,375
LSTM_Config2,30,15,605.5246,833.6606,1.3767576,450
LSTM_Config2,35,15,593.0341,788.02826,1.3288076,525
LSTM_Config2,40,15,593.5549,789.5662,1.3302329,600
LSTM_Config2,45,15,587.9259,783.39966,1.3324803,675
LSTM_Config2,50,15,579.81177,759.88605,1.3105737,750
LSTM_Config2,5,20,631.06616,945.3792,1.4980667,100
LSTM_Config2,10,20,604.935,832.7403,1.3765781,200
LSTM_Config2,15,20,598.5703,802.834,1.3412526,300
LSTM_Config2,20,20,608.9455,825.3215,1.3553289,400
LSTM_Config2,25,20,599.12286,792.1475,1.3221787,500
LSTM_Config2,30,20,597.3479,800.31946,1.3397878,600
LSTM_Config2,35,20,590.0251,760.052,1.2881689,700
LSTM_Config2,40,20,591.813,763.5989,1.2902706,800
LSTM_Config2,45,20,583.4694,751.8713,1.2886215,900
LSTM_Config2,50,20,579.3749,746.04095,1.2876654,1000
LSTM_Config2,5,25,634.0864,994.48334,1.5683719,125
LSTM_Config2,10,25,598.2797,849.462,1.4198408,250
LSTM_Config2,15,25,598.4086,861.82306,1.4401915,375
LSTM_Config2,20,25,611.8337,882.85583,1.442967,500
LSTM_Config2,25,25,605.5339,844.9074,1.3953099,625
LSTM_Config2,30,25,599.9095,835.6174,1.3929057,750
LSTM_Config2,35,25,596.3223,811.82336,1.3613834,875
LSTM_Config2,40,25,592.11127,801.7614,1.3540722,1000
LSTM_Config2,45,25,588.6466,801.6996,1.3619369,1125
LSTM_Config2,50,25,584.8286,788.2151,1.347771,1250
LSTM_Config2,5,30,598.1809,913.9629,1.5279038,150
LSTM_Config2,10,30,578.9863,796.08575,1.3749647,300
LSTM_Config2,15,30,601.6718,866.55566,1.4402463,450
LSTM_Config2,20,30,608.25433,871.5263,1.432832,600
LSTM_Config2,25,30,599.1525,828.937,1.3835158,750
LSTM_Config2,30,30,594.99493,819.8965,1.377989,900
LSTM_Config2,35,30,597.1306,806.0805,1.3499233,1050
LSTM_Config2,40,30,591.2138,793.245,1.3417227,1200
LSTM_Config2,45,30,589.22046,801.6028,1.3604463,1350
LSTM_Config2,50,30,585.1516,785.84534,1.3429773,1500
LSTM_Config2,5,35,583.40656,853.73645,1.4633645,175
LSTM_Config2,10,35,567.28644,749.4777,1.3211628,350
LSTM_Config2,15,35,594.4731,833.4625,1.4020189,525
LSTM_Config2,20,35,598.5261,834.663,1.3945307,700
LSTM_Config2,25,35,596.1878,814.1691,1.3656253,875
LSTM_Config2,30,35,590.02606,799.9391,1.355769,1050
LSTM_Config2,35,35,591.01697,785.1802,1.3285239,1225
LSTM_Config2,40,35,584.03467,770.14685,1.3186663,1400
LSTM_Config2,45,35,581.812,775.78955,1.3334024,1575
LSTM_Config2,50,35,580.10516,764.86127,1.3184873,1750
LSTM_Config2,5,40,603.60126,901.14325,1.4929446,200
LSTM_Config2,10,40,566.23584,764.8799,1.350815,400
LSTM_Config2,15,40,584.5013,823.9066,1.409589,600
LSTM_Config2,20,40,585.1025,815.481,1.3937405,800
LSTM_Config2,25,40,584.42535,793.91644,1.3584565,1000
LSTM_Config2,30,40,581.8612,781.87805,1.3437536,1200
LSTM_Config2,35,40,585.0586,773.6045,1.3222684,1400
LSTM_Config2,40,40,580.3346,757.3871,1.305087,1600
LSTM_Config2,45,40,577.78735,760.11206,1.3155568,1800
LSTM_Config2,50,40,575.22363,747.754,1.2999362,2000
LSTM_Config2,5,45,617.0862,950.986,1.5410911,225
LSTM_Config2,10,45,577.3972,788.6682,1.3659023,450
LSTM_Config2,15,45,593.898,849.4951,1.430372,675
LSTM_Config2,20,45,599.604,850.0308,1.4176537,900
LSTM_Config2,25,45,599.4649,835.67145,1.394029,1125
LSTM_Config2,30,45,598.57666,828.63043,1.3843347,1350
LSTM_Config2,35,45,598.9809,814.2594,1.359408,1575
LSTM_Config2,40,45,593.63556,794.18427,1.3378314,1800
LSTM_Config2,45,45,587.9005,789.198,1.3424006,2025
LSTM_Config2,50,45,588.7179,779.3909,1.3238784,2250
LSTM_Config2,5,50,619.97437,933.346,1.5054591,250
LSTM_Config2,10,50,592.69385,812.5719,1.3709809,500
LSTM_Config2,15,50,600.4709,849.7301,1.4151063,750
LSTM_Config2,20,50,606.7431,861.68555,1.4201819,1000
LSTM_Config2,25,50,603.7106,839.68933,1.3908806,1250
LSTM_Config2,30,50,598.04645,826.44,1.3818994,1500
LSTM_Config2,35,50,595.6077,808.3494,1.3571843,1750
LSTM_Config2,40,50,588.54614,786.1748,1.3357912,2000
LSTM_Config2,45,50,583.52966,779.7573,1.3362771,2250
LSTM_Config2,50,50,583.6369,768.93726,1.3174925,2500
