model_name,seed,rmse,mae,mape,compute_time,success,seed_idx,trial,original_seed
LSTM_Config2,1660706316,1104.0735,969.9746,15.687854588031769,4.117127418518066,True,1,4,1660706316
LSTM_Config2,454537007,3879.2014,2929.3508,46.8883752822876,4.055068492889404,True,1,5,454537007
LSTM_Config2,609426665,351.48523,304.0055,5.040955170989037,4.419728517532349,True,1,6,609426665
LSTM_Config2,1634728347,296.13684,236.2719,3.968115895986557,4.070071220397949,True,1,7,1634728347
LSTM_Config2,1987657532,339.73596,252.01888,4.282049834728241,3.993347406387329,True,1,8,1987657532
LSTM_Config2,310715069,306.76584,232.00749,3.912476822733879,4.466418981552124,True,1,9,310715069
LSTM_Config2,729876517,3578.689,3076.0276,50.730717182159424,4.0851991176605225,True,1,10,729876517
LSTM_Config2,2003791236,307.8012,248.12407,4.161085560917854,4.053091764450073,True,1,11,2003791236
LSTM_Config2,218831383,758.316,662.51666,10.619688779115677,4.371625185012817,True,1,12,218831383
LSTM_Config2,243655903,291.28378,224.82231,3.801107034087181,4.054805755615234,True,1,13,243655903
LSTM_Config2,834610561,266.89474,222.09404,3.731001541018486,4.025638103485107,True,1,14,834610561
LSTM_Config2,2027417011,486.69382,435.2026,7.073777914047241,4.38922905921936,True,1,15,2027417011
LSTM_Config2,1204664664,5653.776,5567.9604,90.9686803817749,4.04638934135437,True,1,16,1204664664
LSTM_Config2,2077195961,5443.7646,5255.715,86.1066997051239,4.122964859008789,True,1,17,2077195961
LSTM_Config2,1636789727,349.8078,277.8175,4.700829461216927,4.461704254150391,True,1,18,1636789727
LSTM_Config2,1850046233,298.52762,230.96985,3.8874398916959763,4.030954122543335,True,1,19,1850046233
LSTM_Config2,30383379,535.7258,428.70383,7.043963670730591,4.1014509201049805,True,1,20,30383379
LSTM_Config2,868263440,323.5784,245.59004,4.1556257754564285,4.399629831314087,True,1,21,868263440
LSTM_Config2,600562021,295.13837,238.97298,4.005945846438408,4.124258279800415,True,1,22,600562021
LSTM_Config2,2074898034,280.44528,217.93196,3.6693207919597626,4.054962158203125,True,1,23,2074898034
LSTM_Config2,750277677,496.28345,463.79977,7.644619047641754,4.492386102676392,True,1,24,750277677
LSTM_Config2,1237480982,302.4053,244.65947,4.1017018258571625,4.128512144088745,True,1,25,1237480982
LSTM_Config2,1726374302,303.40363,230.47676,3.89571450650692,4.0698466300964355,True,1,26,1726374302
LSTM_Config2,247694516,290.77475,231.93208,3.8895580917596817,4.380894899368286,True,1,27,247694516
LSTM_Config2,259854540,472.39343,415.9603,6.725720316171646,4.072399139404297,True,1,28,259854540
LSTM_Config2,1792556017,298.10745,226.1779,3.868303820490837,3.997331380844116,True,1,29,1792556017
LSTM_Config2,1790411177,2587.5962,2399.1384,39.09714221954346,4.376365900039673,True,1,30,1790411177
LSTM_Config2,528743435,641.0258,543.0771,9.021058678627014,4.053194284439087,True,1,31,528743435
LSTM_Config2,1364908621,307.73288,239.67029,4.023290798068047,4.0174291133880615,True,1,32,1364908621
LSTM_Config2,145944841,1331.7529,1204.5117,19.57095116376877,4.370067596435547,True,1,33,145944841
LSTM_Config2,512831001,458.00244,406.99295,6.603223830461502,4.091777086257935,True,1,34,512831001
LSTM_Config2,1075000496,300.43073,229.38147,3.87839637696743,4.079948663711548,True,1,35,1075000496
LSTM_Config2,232792703,295.2583,219.12715,3.7105534225702286,4.433257818222046,True,1,36,232792703
LSTM_Config2,1467020342,296.06223,220.46065,3.7366900593042374,4.060487747192383,True,1,37,1467020342
LSTM_Config2,141051529,713.38794,619.30914,10.19936203956604,4.034470558166504,True,1,38,141051529
LSTM_Config2,156397433,421.51807,343.91016,5.801422894001007,4.388849496841431,True,1,39,156397433
LSTM_Config2,1951529377,426.1852,295.0233,5.082131922245026,4.0895092487335205,True,1,40,1951529377
LSTM_Config2,1821788436,1353.2214,1098.5363,17.87460446357727,4.0067360401153564,True,1,41,1821788436
LSTM_Config2,1795355577,308.7741,242.1604,4.074845835566521,4.437945604324341,True,1,42,1795355577
LSTM_Config2,1568748220,285.98645,236.25688,3.9438847452402115,4.04983377456665,True,1,43,1568748220
LSTM_Config2,1790342262,608.68066,513.7989,8.227095007896423,3.9868059158325195,True,1,44,1790342262
LSTM_Config2,715774336,613.484,470.70996,7.678449898958206,4.42737078666687,True,1,45,715774336
LSTM_Config2,1301144651,303.69763,218.73589,3.739270195364952,4.143361806869507,True,1,46,1301144651
LSTM_Config2,1333929335,655.24347,556.4969,9.111243486404419,4.069056987762451,True,1,47,1333929335
LSTM_Config2,1861827318,283.87305,227.77197,3.8324423134326935,4.508878946304321,True,1,48,1861827318
LSTM_Config2,1260439159,307.4788,246.74055,4.140933230519295,4.1032938957214355,True,1,49,1260439159
LSTM_Config2,2021060994,459.0333,316.72363,5.429058149456978,4.064202785491943,True,2,0,2021060994
LSTM_Config2,1180694233,368.2392,305.33707,5.136168003082275,4.483458518981934,True,2,1,1180694233
LSTM_Config2,1847782045,942.5529,812.7788,13.04314136505127,4.0697667598724365,True,2,2,1847782045
LSTM_Config2,498620881,416.4175,295.36108,5.00098280608654,4.0614542961120605,True,2,3,498620881
LSTM_Config2,2075543408,275.03033,225.84074,3.7915315479040146,4.527061700820923,True,2,4,2075543408
LSTM_Config2,704937175,328.08234,281.16183,4.634982347488403,4.090861558914185,True,2,5,704937175
LSTM_Config2,1715539054,917.6711,807.27997,12.934984266757965,4.064033269882202,True,2,6,1715539054
LSTM_Config2,249366836,291.2919,241.18294,3.966791555285454,4.478484153747559,True,2,7,249366836
LSTM_Config2,1579983555,321.29495,267.016,4.497971758246422,4.094234943389893,True,2,8,1579983555
LSTM_Config2,159090252,293.20236,226.40166,3.8245227187871933,4.023336887359619,True,2,9,159090252
LSTM_Config2,1791238512,303.42865,228.59326,3.8714811205863953,4.414611101150513,True,2,10,1791238512
LSTM_Config2,66895491,379.03534,336.61035,5.5809784680604935,4.11432957649231,True,2,11,66895491
LSTM_Config2,2100119782,726.2145,631.06433,10.120945423841476,4.067834377288818,True,2,12,2100119782
LSTM_Config2,745614405,308.4192,217.07295,3.7072401493787766,4.473033666610718,True,2,13,745614405
LSTM_Config2,494175488,3703.9436,2929.5881,46.78918421268463,4.063938617706299,True,2,14,494175488
LSTM_Config2,200210113,1287.5991,1159.0885,18.618541955947876,4.0975141525268555,True,2,15,200210113
LSTM_Config2,228515503,307.3103,220.81425,3.7746619433164597,4.377495765686035,True,2,16,228515503
LSTM_Config2,724776912,929.2391,700.2027,11.441316455602646,4.032548427581787,True,2,17,724776912
LSTM_Config2,607133082,321.46448,233.64961,3.97726409137249,4.041823387145996,True,2,18,607133082
LSTM_Config2,195903735,278.20026,216.54431,3.659776970744133,4.545646667480469,True,2,19,195903735
LSTM_Config2,946660605,1513.1453,1197.233,19.24794763326645,4.14644980430603,True,2,20,946660605
LSTM_Config2,1223368637,1180.6194,1126.0916,18.45363974571228,4.066735029220581,True,2,21,1223368637
LSTM_Config2,1839818029,315.46118,264.3385,4.424872994422913,4.490701198577881,True,2,22,1839818029
LSTM_Config2,1438225582,361.08963,247.6377,4.2534079402685165,4.168773174285889,True,2,23,1438225582
LSTM_Config2,849613033,313.95642,231.67952,3.9409708231687546,4.00602912902832,True,2,24,849613033
LSTM_Config2,515106549,297.01343,218.66011,3.7102989852428436,4.574009656906128,True,2,25,515106549
LSTM_Config2,877017099,309.2161,247.25911,4.1571710258722305,4.119075059890747,True,2,26,877017099
LSTM_Config2,1038302992,301.38794,234.98254,3.962625190615654,3.9555485248565674,True,2,27,1038302992
LSTM_Config2,1434923816,304.54138,236.1003,3.981608897447586,4.336841344833374,True,2,28,1434923816
LSTM_Config2,595443194,969.8838,808.16864,13.331657648086548,4.132068872451782,True,2,29,595443194
LSTM_Config2,1442436765,454.8413,381.6963,6.444314122200012,4.084957599639893,True,2,30,1442436765
LSTM_Config2,523952603,306.293,236.15889,3.985116258263588,4.4653472900390625,True,2,31,523952603
LSTM_Config2,67458814,305.12405,257.12646,4.271508753299713,4.127298355102539,True,2,32,67458814
LSTM_Config2,1119482826,358.44815,265.8613,4.548622295260429,4.118153095245361,True,2,33,1119482826
LSTM_Config2,518308169,287.44727,238.53467,3.9813637733459473,4.487360000610352,True,2,34,518308169
LSTM_Config2,1296465183,1273.3905,979.80695,15.808622539043427,4.101968765258789,True,2,35,1296465183
LSTM_Config2,975024850,309.87985,264.37207,4.3716032058000565,4.071603059768677,True,2,36,975024850
LSTM_Config2,729099226,277.8553,218.04121,3.6740530282258987,4.463607549667358,True,2,37,729099226
LSTM_Config2,696391872,314.34485,231.34087,3.9258379489183426,4.108422517776489,True,2,38,696391872
LSTM_Config2,1542770022,369.16965,323.62088,5.311283469200134,3.979495048522949,True,2,39,1542770022
LSTM_Config2,1156592986,323.78455,273.95068,4.485616460442543,4.424453973770142,True,2,40,1156592986
LSTM_Config2,826122449,1305.6757,1175.8007,18.8987135887146,4.04757022857666,True,2,41,826122449
LSTM_Config2,1469736883,316.576,272.59433,4.505666717886925,4.060290813446045,True,2,42,1469736883
LSTM_Config2,1260836896,508.15454,446.29004,7.191313058137894,4.506437301635742,True,2,43,1260836896
