Horizon,Horizon_Months,Best_RMSE_Model,Best_RMSE_Value,Best_MAPE_Model,Best_MAPE_Value
2020,12,SARIMA,1439.51 ± 0.00,SARIMA,15.07% ± 0.00%
2020-2021,24,SARIMA,1842.40 ± 0.00,SARIMA,19.15% ± 0.00%
2020-2022,36,SARIMA,1840.50 ± 0.00,SARIMA,19.39% ± 0.00%
2020-2023,48,SARIMA,1733.68 ± 0.00,SARIMA,17.68% ± 0.00%
