True,Pred
4716,5066.729
4377,4996.056
4484,4955.2354
4911,4850.8374
5218,5103.4746
5759,5239.6797
5456,5523.2056
5359,5634.041
5305,5591.0474
5769,5667.7314
5565,5828.7114
5367,5836.4507
5633,5824.867
5664,5859.918
6082,5907.633
6505,5989.2075
5813,6146.8906
6379,6063.312
6091,6149.219
6219,6146.4414
6052,6135.888
6105,6122.31
6030,6147.076
5969,6103.6353
5707,6096.0776
5681,5987.2095
6052,5957.501
5904,6026.5767
5426,6040.121
6005,5892.304
5766,5993.3945
5946,5982.538
5981,6005.4067
6104,6062.0996
5991,6112.7456
5670,6081.003
5709,6002.533
5416,5948.5186
5793,5858.716
