True,Pred
4642,4630.7
4369,4666.458
4672,4618.053
4661,4657.4463
4655,4657.6523
4716,4676.1846
4377,4696.037
4484,4576.6646
4911,4549.925
5218,4866.2354
5759,5135.791
5456,5486.6543
5359,5467.039
5305,5400.0786
5769,5461.3228
5565,5563.1924
5367,5521.543
5633,5426.9175
5664,5524.9526
6082,5546.161
6505,5787.32
5813,6083.8467
6379,6026.736
6091,6003.314
6219,6066.3438
6052,5942.226
6105,5978.558
6030,5883.325
5969,5891.453
5707,5816.019
5681,5775.1455
6052,5696.963
5904,5796.8774
5426,5763.098
6005,5648.1953
5766,5745.8887
5946,5717.156
5981,5724.9004
6104,5797.494
5991,5858.5293
5670,5823.759
5709,5736.364
5416,5731.1377
5793,5645.595
