True,Pred
4655,4907.983
4716,4930.3623
4377,4961.2173
4484,4882.497
4911,4846.2803
5218,4952.635
5759,5136.615
5456,5439.846
5359,5560.7266
5305,5583.6675
5769,5561.2925
5565,5680.68
5367,5710.1436
5633,5657.9297
5664,5695.14
6082,5739.656
6505,5903.4707
5813,6161.2905
6379,6114.099
6091,6228.073
6219,6218.4375
6052,6238.714
6105,6198.4546
6030,6182.405
5969,6150.9053
5707,6110.9907
5681,5999.056
6052,5912.392
5904,5978.132
5426,5994.594
6005,5850.119
5766,5920.5713
5946,5914.3145
5981,5962.4785
6104,6009.8896
5991,6080.2217
5670,6091.61
5709,5987.339
5416,5915.64
5793,5780.6035
