True,Pred
4377,5215.642
4484,5112.2354
4911,5102.049
5218,5152.579
5759,5268.4663
5456,5412.4775
5359,5551.3604
5305,5599.293
5769,5636.3057
5565,5704.525
5367,5734.1436
5633,5747.054
5664,5737.3438
6082,5729.7627
6505,5842.9473
5813,5983.3213
6379,5978.663
6091,6035.825
6219,6091.6914
6052,6116.727
6105,6131.8936
6030,6113.0703
5969,6044.5244
5707,6016.4653
5681,5951.688
6052,5853.377
5904,5882.854
5426,5907.669
6005,5804.881
5766,5805.8247
5946,5827.4023
5981,5889.484
6104,5977.926
5991,5996.844
5670,5995.263
5709,5950.053
5416,5898.4443
5793,5771.4956
