,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,270.102980115992,217.60116293913396,3.829661309351267,0.0,0.0,0.0
std,3.3704651463277404,2.0660257679105447,0.03430855568694184,0.0,0.0,0.0
