True,Pred
4377,4652.165
4484,4655.278
4911,5016.6597
5218,5412.668
5759,5575.9136
5456,5661.479
5359,5613.236
5305,5631.7695
5769,5657.547
5565,5712.226
5367,5605.848
5633,5528.685
5664,5516.453
6082,5647.113
6505,6148.273
5813,6203.3125
6379,6165.943
6091,6224.299
6219,6228.304
6052,6242.6978
6105,6133.4146
6030,6064.6987
5969,5943.304
5707,5959.2983
5681,5984.58
6052,5901.625
5904,5984.5283
5426,5887.543
6005,5889.3115
5766,5828.505
5946,5868.881
5981,5991.873
6104,5902.343
5991,5860.2905
5670,5851.863
5709,5905.6284
5416,5855.4126
5793,5995.874
