True,Pred
4369,4810.403
4672,4693.4243
4661,4785.312
4655,4797.3936
4716,4842.842
4377,4860.6025
4484,4750.767
4911,4721.9673
5218,4862.654
5759,5090.099
5456,5400.2695
5359,5481.8604
5305,5502.334
5769,5456.0024
5565,5608.688
5367,5610.523
5633,5559.874
5664,5592.763
6082,5651.4263
6505,5807.188
5813,5999.017
6379,5952.378
6091,6044.8843
6219,6021.633
6052,6074.5244
6105,6002.6064
6030,6021.1724
5969,5980.8267
5707,5959.0957
5681,5858.375
6052,5791.6743
5904,5855.5024
5426,5869.688
6005,5727.1567
5766,5799.2915
5946,5795.9087
5981,5853.9395
6104,5862.565
5991,5947.9077
5670,5936.708
5709,5850.7207
5416,5792.56
5793,5664.6934
