RMSE,MAE,MAPE,config_name,seed_idx,trial,trial_seed,compute_time
356.2381086958486,286.0430094401042,4.617252926217386,lstm_small,0,0,42,5.869420528411865
347.2652541115622,297.330078125,4.799653200182239,lstm_small,0,1,43,2.6155097484588623
279.16004161871064,232.03190104166666,3.784383959171294,lstm_small,0,2,44,2.625720262527466
373.51868791383566,321.0836995442708,5.172807389434244,lstm_small,0,3,45,2.8415236473083496
407.591064394996,352.2373860677083,5.665830948054713,lstm_small,0,4,46,2.6203014850616455
343.2353069615883,293.2734781901042,4.736080021953142,lstm_small,0,5,47,2.6221704483032227
392.1410512760633,338.621826171875,5.449178971871218,lstm_small,0,6,48,2.931674003601074
381.4112164209581,329.8055013020833,5.31673174902878,lstm_small,0,7,49,2.680464029312134
351.594399230123,302.833740234375,4.886233895993155,lstm_small,0,8,50,2.649500846862793
321.08589806419513,275.9229736328125,4.466277520331385,lstm_small,0,9,51,2.8670918941497803
436.51796331715946,381.6115315755208,6.137822321991624,lstm_small,0,10,52,2.655388355255127
401.6981155694186,346.0437825520833,5.566452483840672,lstm_small,0,11,53,2.6430201530456543
353.6817495953,308.472900390625,4.971723223589619,lstm_small,0,12,54,2.8851115703582764
369.94358531659964,317.5528157552083,5.108648509818781,lstm_small,0,13,55,2.6502022743225098
411.6483708139954,357.1608479817708,5.745816344912188,lstm_small,0,14,56,2.665433168411255
796.7965648122768,626.754638671875,10.072139338304163,lstm_small,0,15,57,2.6254427433013916
365.7678559930927,314.1719563802083,5.063338802706987,lstm_small,0,16,58,2.960813045501709
274.36321783503854,231.66837565104166,3.7742236609047124,lstm_small,0,17,59,2.6502678394317627
348.6877693352266,298.2657470703125,4.819049652597576,lstm_small,0,18,60,2.610661506652832
363.2975363376246,312.822998046875,5.036332923628387,lstm_small,0,19,61,2.8993468284606934
300.24352320907605,253.91963704427084,4.120825852670224,lstm_small,0,20,62,2.6255555152893066
208.28859881609895,172.2440185546875,2.91905067680317,lstm_small,0,21,63,2.6366689205169678
366.10909055986656,314.4901936848958,5.068759015531555,lstm_small,0,22,64,2.951155185699463
3417.6533873104404,3231.3858540852866,52.35168873707049,lstm_small,0,23,65,2.624788999557495
356.97547618664026,305.837890625,4.952012440749909,lstm_small,0,24,66,2.620793342590332
442.48190975554286,385.5799153645833,6.199148810073143,lstm_small,0,25,67,2.8915092945098877
360.12075450231447,310.322265625,5.008365798974373,lstm_small,0,26,68,2.607628345489502
348.48411922105936,299.7447916666667,4.8371643739575,lstm_small,0,27,69,2.5949079990386963
344.11361265940036,295.4543863932292,4.770082272075507,lstm_small,0,28,70,2.859652042388916
386.9705040033569,335.307861328125,5.404120749201038,lstm_small,0,29,71,2.6063337326049805
339.4302402993796,290.0448404947917,4.686519776178525,lstm_small,0,30,72,2.608912944793701
378.3574596314277,326.4115397135417,5.258967107695639,lstm_small,0,31,73,2.6639273166656494
293.12427194649973,251.09244791666666,4.077335897872858,lstm_small,0,32,74,2.924647569656372
311.55320957327234,266.9620768229167,4.32561711399037,lstm_small,0,33,75,2.645631790161133
375.9240512901972,323.5975748697917,5.214089795471514,lstm_small,0,34,76,2.6220014095306396
429.11067377049545,373.5898844401042,6.008771290562969,lstm_small,0,35,77,2.8925423622131348
386.0933519358778,331.4162190755208,5.33519903219486,lstm_small,0,36,78,2.656073808670044
330.8415088018258,283.0557047526042,4.582016087862036,lstm_small,0,37,79,2.644637107849121
385.02245796384034,331.616455078125,5.339656195780066,lstm_small,0,38,80,2.9140756130218506
345.4077335452526,296.8917236328125,4.792845185897132,lstm_small,0,39,81,2.645112991333008
389.3620731778409,334.8336181640625,5.388983953977611,lstm_small,0,40,82,2.6345436573028564
559.0127016954011,485.1866455078125,7.7881415654447315,lstm_small,0,41,83,2.8807756900787354
420.445653791659,368.7221272786458,5.938383790542673,lstm_small,0,42,84,2.6144611835479736
265.8165013761593,220.02685546875,3.5970982866829737,lstm_small,0,43,85,2.610816240310669
311.01105367496245,265.7265218098958,4.312798208985493,lstm_small,0,44,86,2.8275294303894043
220.5948494251391,187.29105631510416,3.109428152077532,lstm_small,0,45,87,2.6537413597106934
344.0022619977556,294.7704671223958,4.762765996786912,lstm_small,0,46,88,2.596674680709839
345.5028279345071,297.61083984375,4.806207051907562,lstm_small,0,47,89,2.5861949920654297
316.56186395498395,269.4806722005208,4.361124527851983,lstm_small,0,48,90,2.865079641342163
330.94041102935836,282.8162841796875,4.571033705700217,lstm_small,0,49,91,2.625202178955078
338.44654012977395,290.8275553385417,4.699252904531683,lstm_small,1,0,1042,2.609130382537842
366.356582404135,308.9206136067708,5.215178228400737,lstm_small,1,1,1043,2.9109129905700684
598.9444409783812,522.9587809244791,8.38514304712758,lstm_small,1,2,1044,2.6160855293273926
354.6677517150935,305.2322591145833,4.924343102608876,lstm_small,1,3,1045,2.6305439472198486
347.47977608385173,298.3882242838542,4.820623673902236,lstm_small,1,4,1046,2.9085071086883545
348.7787190838718,300.8685709635417,4.85399882885094,lstm_small,1,5,1047,2.61953067779541
366.8777497752272,315.967041015625,5.097933352313014,lstm_small,1,6,1048,2.6087942123413086
331.4292236247967,283.5868733723958,4.588530316391302,lstm_small,1,7,1049,2.8832619190216064
415.71635379627344,358.9798583984375,5.770827544270926,lstm_small,1,8,1050,2.633842945098877
311.8580176416628,267.5958658854167,4.336127579919849,lstm_small,1,9,1051,2.6315219402313232
371.31753435616343,319.0339762369792,5.1395095150409364,lstm_small,1,10,1052,2.6062428951263428
389.520030433111,333.308837890625,5.395624377858735,lstm_small,1,11,1053,2.9370555877685547
