,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,251.17074544397138,187.70841923466435,3.237404887301691,0.0,0.0,0.0
median,251.3813853759019,187.59033881293402,3.231888360171645,0.0,0.0,0.0
std,1.7863988065428738,1.160555448960663,0.021897787564422247,0.0,0.0,0.0
