lookback,batch_size,epochs,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std
3,16,100,282.65857724304715,24.92484540493559,225.68483501233555,23.563728236469974,4.020730561218644,0.3957989109830624
3,16,100,284.4392867021324,23.32393438278591,227.90025956003288,19.93893873897431,4.085342799682399,0.3388701403451166
3,32,100,285.90413192902514,12.48287734602789,229.59252158717103,12.36689710957206,4.162039056038404,0.2671849329539796
3,32,100,291.736293255659,22.24271085327759,236.5139125890899,18.25209849786848,4.311754396070234,0.3867257933747123
5,16,100,293.1381001105222,22.22247704293341,237.0621004971591,18.942404944690217,4.282803896917462,0.3740919493165836
5,16,100,295.8909758298334,25.955554904305668,240.27252692945072,23.318900415711063,4.344902465387941,0.4636311613686248
12,8,100,297.9460765744306,14.274514023076716,239.76327548556856,12.610485712105907,4.135278934366856,0.2369051591764081
3,8,100,299.8985395340931,33.35247998167486,241.6748903508772,29.558616745009445,4.283540355263805,0.5531890198747688
3,16,50,300.4674959165303,24.529410458996644,242.1948336417215,22.84660106197792,4.309520039790214,0.3965858159825452
3,8,100,301.92481629114866,32.89721042085563,242.284124577394,26.98043120191044,4.275629278831386,0.4298039384985592
3,16,50,302.98064396638983,26.368731892564927,244.6303890830592,21.792978131265947,4.402938630716543,0.4082682798653401
5,8,50,303.1340371830325,22.385486091986103,241.43637488162875,21.736284390150903,4.359340896665244,0.4359557241929316
12,8,100,306.5643096633109,12.808275397353414,247.27333882649737,11.28235973028568,4.2553112900730845,0.2094449085084696
12,16,100,306.5709203619815,15.924918126661264,245.41280076768663,14.554965673807304,4.207886392792733,0.2568220366235169
3,8,100,307.75355481332497,34.392950722727065,248.98746173702483,24.46739110405351,4.457053855301051,0.4702859748302223
12,16,100,310.7596295319739,17.850013051126876,250.93850470648871,13.63469814010459,4.286274378118029,0.2202285192478492
3,16,100,310.78783917688145,38.80909760414172,251.46462473729892,29.411316454706764,4.57932118789213,0.6053285994129408
7,16,100,311.9768534324969,19.136093599861407,247.59002493612425,16.63506561104371,4.425273596058378,0.3193717301653714
5,32,100,313.07955607222203,21.78446612395958,249.6969466145833,18.58192534275361,4.47008301430983,0.3463166958843882
5,32,100,313.2683269154743,32.93847036194362,248.40394353693185,25.22115258764332,4.461987640187158,0.5084247043873728
12,32,100,313.89802702336624,17.135069453003126,251.6899793836805,13.496993297918548,4.342731433036562,0.2523797791520953
7,16,100,313.9101659585845,36.04885278357776,250.56442732900945,31.837098887115435,4.456834972273716,0.5583098374305817
12,8,50,316.6717893410106,18.3064372786269,255.73371785481768,15.169018469520044,4.399821827330271,0.2744672922317105
12,16,50,321.1455926965981,24.988966671009603,260.76116027832035,20.76834928739842,4.437341772926078,0.3480372271611338
12,32,100,322.09300769934805,19.04723893608132,258.41536051432297,16.044996872521853,4.474308433709441,0.2952896759347601
3,8,50,322.2791128994222,47.60717567478388,261.5354158100329,42.41497856814401,4.705151464745506,0.7409970119131634
3,8,50,322.82881917703554,49.711831539846486,263.81412132218566,47.50989608522866,4.742710256959702,0.8949123636303843
7,32,100,323.69208859699825,26.914814871566623,256.81969278203616,22.885737333485874,4.590535854225904,0.4210804607495002
5,16,100,324.08651491174254,38.37310717640301,259.16060724431816,27.311695628314947,4.7514529842367965,0.5504108987601343
12,8,50,324.34467367045966,28.304461155471397,261.20485127766926,24.282012663693884,4.481597873109163,0.3718380954037474
11,32,100,326.6536402101172,22.266480060328306,255.90460113732996,19.55072772982941,4.436345269340682,0.3347088238452221
5,16,50,328.19936460641503,36.9951056714275,264.23162405303026,32.923199491767,4.708899517756448,0.5847954777279302
5,8,50,330.82206723530555,40.19930204880006,266.56446762547347,37.366156674905525,4.886646937562551,0.6956669436199939
9,16,100,331.25404338772466,29.52889404075557,260.03534198835786,26.871356445946248,4.6383668874939055,0.4701604837283394
5,16,50,331.3055850096856,37.70431677228181,266.37390565814394,36.50994779191594,4.726574291219689,0.6294236475091206
12,16,50,332.4904836314279,20.01806726938369,269.0757402208116,16.460788327215777,4.606589420345008,0.2919915302089493
3,8,100,334.1217913715103,63.53259320689814,271.82223135964915,50.81715162136818,4.884884666161095,0.9663945669370946
9,8,100,334.4047598032563,35.340961640360405,264.06424632352946,31.70102639402195,4.75021535951306,0.6072481125363496
12,8,100,336.01111324124844,23.54183234523548,271.38413594563804,17.58457872952721,4.664801116745506,0.2963083078734173
7,32,100,340.13040606585866,31.64596828398367,268.8556410303656,25.704845670000463,4.808025664124409,0.4619656216580826
9,32,100,341.27324929102906,20.085537081856625,267.08324684691587,16.792833981400832,4.721023083682477,0.2874170255950733
9,16,100,341.34861171068616,25.225651287118247,266.3879930683211,22.14247005013224,4.772779532216755,0.4048808055662561
9,8,100,341.91180641988615,50.99283655635779,273.1009073095384,45.8693816889006,4.938748184821282,0.8625703523905642
9,32,100,342.2408205525781,14.909877126775555,268.90564012714464,13.995544346648714,4.73196082326926,0.2122453599225793
12,32,50,342.253619111402,28.9695092216049,276.23522474500874,24.72565698194752,4.765847998852702,0.4299003453803139
3,16,100,342.572420019841,64.22287977668377,277.46258052357456,49.32997894294028,5.080938679494055,0.9590345932412476
11,32,100,342.94968707206385,28.4277559776775,270.5820196242559,22.052174574596776,4.693517367826599,0.3832319620926024
