seed1,seed2,strategy,strategy_detail,seeding_approach,global_seed_flag,trial,final_loss,train_rmse,train_mae,train_mape,val_rmse,val_mae,val_mape,is_diagonal
42,42,same_seeds,both_layers_seed_42,global_seed,True,0,1449967.625,523.431551016886,424.15545944940476,7.894810133922456,597.0918739512184,534.4395345052084,8.582193038293317,True
42,42,same_seeds,both_layers_seed_42,global_seed,True,1,1609448.375,614.236140217394,545.6131882440476,9.680896421979767,853.0108226963091,790.6764322916666,12.74289939203039,True
42,42,same_seeds,both_layers_seed_42,global_seed,True,2,1712947.875,660.0532205001549,595.4745163690476,10.475885643625753,927.907279174852,870.9498697916666,14.065802330046177,True
42,42,same_seeds,both_layers_seed_42,global_seed,True,3,1594054.625,533.486366318959,447.5758463541667,8.211875949195447,659.5276969594053,594.9396158854166,9.55452377385405,True
42,42,same_seeds,both_layers_seed_42,global_seed,True,4,1626993.625,654.3776414703134,589.5208333333334,10.380481348724665,919.1408940270891,861.6041666666666,13.911785528138498,True
42,42,same_seeds,both_layers_seed_42,global_seed,True,5,1582180.625,614.4247288578471,545.8347516741071,9.684426614402344,853.3425888748103,791.0343424479166,12.748797736638457,True
42,42,same_seeds,both_layers_seed_42,global_seed,True,6,1516187.625,632.5670516218426,566.4005533854166,10.012103602188862,884.2263471996613,824.2560221354166,13.296289647202434,True
42,42,same_seeds,both_layers_seed_42,global_seed,True,7,1719706.75,621.4764629702784,553.9975353422619,9.814485067842702,865.5799551799614,804.2203776041666,12.966103051973713,True
42,42,same_seeds,both_layers_seed_42,global_seed,True,8,1675673.25,529.9177185075657,441.2511393229167,8.12534894561378,643.0040173691206,579.1278483072916,9.300403990061778,True
42,42,same_seeds,both_layers_seed_42,global_seed,True,9,2001624.625,611.8438103146306,542.7869698660714,9.63586600021834,848.7807440504783,786.1110026041666,12.66766129914446,True
42,42,same_seeds,both_layers_seed_42,global_seed,True,10,1558581.375,558.0648182132257,478.63409133184524,8.645545562976706,737.2823972021962,667.881103515625,10.726807326245702,True
42,42,same_seeds,both_layers_seed_42,global_seed,True,11,1717685.25,703.7377269328462,640.8335658482143,11.209065233020569,992.0471465815821,938.9884440104166,15.187075225982507,True
