,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,375.3253124966059,296.2936659624787,5.142009718798011,0.0,0.0,0.0
std,36.87426020749345,34.22983294329468,0.5415797586702746,0.0,0.0,0.0
