,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,494.401383593622,394.26189046223953,7.234096133436235,0.0,0.0,0.0
median,492.8420155021917,392.6972778320312,7.21116228927936,0.0,0.0,0.0
std,4.4456691581054715,11.472876883629048,0.1623336455390783,0.0,0.0,0.0
