True,Pred
4655,5671.6978
4716,5723.105
4377,5669.269
4484,5665.9624
4911,5662.251
5218,5686.492
5759,5769.4214
5456,5782.45
5359,5736.588
5305,5660.818
5769,5622.149
5565,5778.184
5367,5866.938
5633,5953.4453
5664,5895.729
6082,5904.525
6505,5937.484
5813,6011.283
6379,5964.433
6091,5900.944
6219,5906.851
6052,6004.127
6105,6014.8477
6030,6140.2305
5969,6031.4395
5707,6101.041
5681,6059.2734
6052,6065.098
5904,6072.564
5426,6094.6455
6005,6043.647
5766,6012.6
5946,5988.8706
5981,6020.4297
6104,6019.818
5991,6050.3306
5670,5942.206
5709,5988.4395
5416,5969.151
5793,5987.553
