,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,251.51719107985627,202.41790880652945,3.618696861202626,0.0,0.0,0.0
median,253.43701057366695,202.6837902534299,3.619654105984943,0.0,0.0,0.0
std,20.752326658089974,16.182402385862158,0.2946048290808892,0.0,0.0,0.0
