True,Pred
4911,5312.974
5218,5372.2227
5759,5362.5312
5456,5477.099
5359,5510.4194
5305,5573.2046
5769,5581.205
5565,5619.1934
5367,5636.611
5633,5643.1895
5664,5660.9956
6082,5680.5825
6505,5769.4746
5813,5911.413
6379,5783.536
6091,5848.246
6219,5879.819
6052,5913.43
6105,5892.083
6030,5881.2207
5969,5891.349
5707,5881.9956
5681,5953.2646
6052,5861.9087
5904,5841.6987
5426,5900.5493
6005,5796.8545
5766,5869.1323
5946,5796.583
5981,5819.1084
6104,5888.3306
5991,5841.7246
5670,5804.887
5709,5832.808
5416,5875.343
5793,5755.2764
