lookback,batch_size,epochs,encoder_units,decoder_units,attention,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std
3,32,50,64,64,False,272.4247760559923,2.23407482989976,220.12940623857827,2.295395247170485,3.970629058803818,0.0474190138189111
9,8,50,128,64,False,272.4712688329085,0.9584235143577466,218.4927418428309,1.1523271144015523,3.8415979182904754,0.0064157851572794
7,16,50,128,64,False,272.6550842702528,4.458925221128607,218.3919194059552,3.392763519230595,3.845394915805131,0.0375492078074313
11,8,100,128,64,False,272.87991044851617,1.0292117268035552,216.8443040497449,0.9199260582919851,3.705749468595103,0.0136584355617124
11,8,50,128,64,False,272.9442645659172,0.9855329843500112,216.94930179102892,0.9900160118271952,3.7073375855835753,0.0148459760530873
5,16,50,64,64,False,272.97375836147853,1.6234089746731433,217.6503699100379,0.4344739073310591,3.90120589043155,0.0111264241767755
12,32,50,128,64,False,273.0359984901942,24.964366212479025,219.96492953830293,21.451193218849497,3.721015891952763,0.3278480239292425
7,32,100,64,64,False,273.2003137927958,1.4398521538185836,216.70087368563287,0.259157554577716,3.828785704126124,0.0054924045360982
5,32,50,128,128,False,273.4591745866564,1.184031882274978,217.0773612097538,0.4074261104915546,3.866386693961608,0.0075397036538302
9,16,100,64,128,False,273.67401350108287,1.124240915133602,219.37923368566172,0.4567373925774092,3.8368501059085927,0.0054270257142683
9,16,50,128,128,False,274.0259113904466,0.7140784964556209,216.20770175908905,0.1318016487143346,3.8055547314900178,0.0025255811532222
9,16,100,64,64,False,274.0829217639514,1.3859062235703,217.37030611723856,0.9777423784843912,3.823151360892587,0.008160442652362
12,32,50,64,64,False,274.1096061917677,14.54684687438653,223.32767028808595,13.840982260931272,3.809269389228164,0.2572477213745152
5,32,100,64,64,False,274.2453223280556,1.555569309113792,217.38434599905304,0.6764332823501603,3.85839131816734,0.0135705472120204
12,32,50,64,128,False,274.31239643641374,28.64112271340607,221.3123901367188,24.286302856304086,3.73544213953906,0.3741703280882674
5,32,100,128,128,False,274.3709384151762,3.325234092149037,216.8510582386364,1.2089320301966726,3.8410628662375887,0.0119244973279527
12,32,100,128,64,False,274.7789389336755,29.361043477687883,220.7869137234158,25.78152426272013,3.7284524793576304,0.3941842045963677
9,8,50,128,128,False,274.9508450670391,0.4300824618641553,219.7636220894608,0.1646229531959918,3.851983913521706,0.0030615496531718
9,8,50,64,64,False,275.16536529280296,0.9440510737261952,217.7044037862541,0.6411988808388861,3.8252332967730087,0.0081561119997855
7,32,50,128,128,False,275.1758863319767,1.2177851313481864,218.1274696590016,0.6884515915049068,3.846388312388616,0.0087086378051272
5,8,50,64,64,False,275.36164607045794,0.8816482354361027,220.86439985795457,0.476403038894044,3.990499147415411,0.0121637643982343
5,32,50,64,64,False,275.4988100906756,2.0466207631041127,218.41746330492424,1.0179746353860086,3.916403108774522,0.0279978293993443
5,8,100,64,64,False,275.52677975881096,1.4832701745923336,220.78798088304924,0.5416770418011394,3.98825956787543,0.013517092710449
5,8,100,128,128,False,275.5391635585281,0.7716143121350596,221.50537730823865,0.8188845767020132,4.003552455837005,0.0345743966456803
5,8,50,128,128,False,275.6988992074221,0.607448857664548,221.74950787168564,0.3218656659465546,4.015131993035253,0.0074695632376895
9,16,100,128,64,False,277.2920795879541,2.7685624521812997,221.5810033062704,2.7879083651652943,3.8708599601762974,0.0391032538818939
9,16,100,128,128,False,277.5823240173241,2.5235364116510675,220.8083282271241,1.7547000115934068,3.867271229579198,0.0202797839430513
9,32,100,64,64,False,277.6894477445197,1.697415943971241,218.570712380004,0.6361998915673787,3.833357006289825,0.0085160719933044
7,8,100,64,64,False,277.8022847591024,1.61607994042431,221.68661433765723,0.442429580130714,3.895802639275957,0.0265329175797914
7,16,50,128,128,False,277.834497843248,1.2618862979991208,221.7161396914308,0.76396374319775,3.88978077216378,0.0102278080764521
9,32,50,64,128,False,277.8813671957613,41.038140313129794,223.85854907067,37.28107092668068,3.938835924760956,0.700998689222687
7,16,50,64,64,False,277.9688635439591,2.004896724110257,219.43838535524765,0.7477533064047691,3.866747896937433,0.0128892205537864
11,32,50,64,64,False,278.7359649060583,5.280785671432885,218.374014801233,4.963710223643811,3.788019579857437,0.0886732389311851
9,16,50,64,64,False,279.70552063150905,2.2765096722092286,217.66943104064543,0.8345765083860037,3.828575710743472,0.0147549858266013
3,16,100,64,64,False,279.87112582864245,1.558110055497244,222.3518483301352,0.9786145081036328,3.9267390325092046,0.0146697109197632
3,16,50,64,64,False,280.50466063764327,1.9210962662229152,222.7835720486111,1.2406508533173346,3.9332665490079535,0.0188835720515303
11,16,100,64,64,False,281.78799597283506,41.36543409808305,224.9747342687075,37.11152589893388,3.925339464628308,0.7073001607352103
7,32,50,64,64,False,282.5794146492238,4.824886614095646,221.8028206687304,3.3955665697860105,3.948817177183957,0.0678635919292218
5,16,50,64,128,False,283.9228128993288,10.269386623512467,227.2973946496212,5.975477331413215,4.002955634752459,0.0567350852763287
3,16,50,64,128,False,283.9954393882379,4.0797799970169,224.21276041666667,2.275630111607735,3.9338813746634353,0.0272145213643528
11,16,50,64,64,False,284.0751442722962,32.15465690550758,222.9181969467474,30.24050192323124,3.8747054217078696,0.5880464727337016
9,8,100,128,128,False,284.33282825469234,6.0201170224647935,228.79248142616424,6.023090522874066,3.975863462626199,0.0807163876252029
3,16,100,64,128,False,285.3607684794896,4.231143524324042,225.18346211394373,2.6150311012392287,3.94783144242776,0.0342503979772228
11,32,50,128,64,False,285.56543263776035,57.25802215702964,228.5107169430272,54.03494512288077,3.965791139722948,0.9862722431840228
12,16,100,64,128,False,285.82098731492425,33.412333644083986,232.88920084635413,27.32454797339093,3.947990156439244,0.4014815456895365
3,16,100,128,128,False,285.8330753415466,0.394885661233966,226.29921618009877,0.4330282642194689,3.973766810896305,0.0082624977958753
3,16,50,128,128,False,286.09324621015566,0.5342855578504941,226.5285116273757,0.554260904768907,3.977662457805081,0.0100206427492205
12,16,50,64,128,False,286.11510071539414,33.68634385690586,234.1632405598958,26.94346285238162,3.983744290675959,0.3877782457633035
12,16,50,128,128,False,287.0860800251532,30.017025293593967,232.78873358832465,25.462980109029434,3.944740680839005,0.3690605095368802
3,16,100,128,64,False,287.57867915786824,1.1132435281073807,226.8586665638706,1.015548399782746,3.971794854069967,0.0160100972303053
3,16,50,128,64,False,287.59220747314026,2.0291962586284678,226.96062425758407,1.376029442614007,3.974060743056787,0.0190377607401464
5,16,50,128,64,False,289.2352445276705,10.915470405836848,231.5587269176136,7.483107042405315,4.071255083398045,0.0846149311994826
9,32,50,64,64,False,289.7006732083365,3.891252094890481,225.0394094030841,2.415472194436479,3.964165519071012,0.0475166600199178
5,16,50,128,128,False,290.55353895048506,9.01496754231272,232.67852095170457,6.939274207277036,4.099389318902863,0.0929163552160135
5,16,100,64,64,False,290.7926374095707,11.17511958149492,231.8816616358901,9.08445188251934,4.07244727928738,0.1270761922871907
3,8,100,64,128,False,291.45339231968785,9.353255748369802,232.45971165707232,7.227793990450731,4.071700449338538,0.1038307568431821
3,8,100,128,128,False,291.99240865082425,7.609556996974004,233.2888806080958,6.554629693697816,4.090058241646471,0.0804013068775558
5,16,100,128,128,False,293.21178005808025,8.677225436824562,235.01497602982957,6.545945657048594,4.131216860449388,0.0914911952294614
9,32,50,128,64,False,293.47751389437303,65.46626795811642,235.48783988204656,59.24192276636365,4.165315277394494,1.121201937205868
9,8,100,64,64,False,294.0936634853488,2.6425483761458537,234.3752211626838,2.780490120006069,4.066025727152945,0.043223148934587
5,16,100,128,64,False,294.857361456713,5.873181742662904,235.70799153645837,5.076156476037654,4.119524963610722,0.0764559749105961
11,32,100,64,128,False,295.15613024237217,64.43418363100139,241.4146447836947,58.38080514866701,4.193228750673064,1.0563743081204515
12,16,100,128,128,False,295.3137086144071,29.450850296749035,239.5565636528863,24.82849923400191,4.040602265762836,0.3560284337210936
5,16,100,64,128,False,295.8359720740224,9.42896357508876,235.66747011126893,8.3247988661586,4.107911993414197,0.1286707567283375
9,32,100,128,64,False,296.36012162609296,68.88533079466936,238.7360137739992,61.68991450278104,4.216335390220341,1.170390786777072
3,8,100,128,64,False,296.4014011599231,0.5419546796436343,237.6423325566521,0.611420794882444,4.153241651858022,0.0102873075531739
11,32,50,64,128,False,298.0723031248,63.63559825873753,241.4791656701743,58.82186061263837,4.204622935850505,1.080552555173247
9,32,100,64,128,False,323.65735397183647,89.65710386388197,262.44256567861515,78.90526185634724,4.664929397208634,1.5157272922672484
11,32,50,128,128,False,343.46973359866973,69.57800015538986,280.6690223745748,65.69889961856427,4.885888028712495,1.2285563748363992
9,32,100,128,128,False,344.40972573645075,88.49920957869458,279.65142239838644,77.52688608921085,5.017199185712443,1.4973714149011237
11,32,100,128,128,False,360.5120833898436,71.8962649796924,297.39955323926443,67.12332968976214,5.210761480791351,1.26880182088483
9,32,50,128,128,False,371.49374429733206,92.14098947697065,301.5115962009804,82.93891320437992,5.444800145041952,1.591612250562613
