,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,464.7285689493758,389.88362612893405,7.014395229563178,0.0,0.0,0.0
median,444.7920957752236,361.12156125332444,6.471241218651493,0.0,0.0,0.0
std,108.18445008575533,108.02515155880177,1.9206410381349042,0.0,0.0,0.0
