,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,263.88965221945966,211.44301995171438,3.6053253112400827,0.0,0.0,0.0
std,4.195405154275134,4.970595768915108,0.09911705915659585,0.0,0.0,0.0
