config,mean_rmse,median_rmse,std_rmse,cv_rmse,mean_median_diff,mean_median_ratio,rank_by_mean,rank_by_median,rank_difference
lookback_2_bs_32_epochs_200_dmodel_128_heads_1,323.62815532585256,277.63667747230386,89.28218454734936,0.27587891559513267,45.9914778535487,1.1656534657894277,19.0,1.0,18.0
lookback_2_bs_8_epochs_100_dmodel_128_heads_4,321.46522241961856,282.1330764829338,120.31111115542808,0.3742585597591712,39.33214593668475,1.1394099069382386,16.0,2.0,14.0
lookback_6_bs_32_epochs_200_dmodel_64_heads_2,318.7601711529706,285.6519876788649,97.58423285625278,0.30613684420887965,33.108183474105715,1.1159039142109053,13.0,3.0,10.0
lookback_6_bs_32_epochs_100_dmodel_64_heads_4,304.3547088322648,286.0791551494144,65.71775316217465,0.21592487730621196,18.275553682850386,1.0638828567334986,3.0,4.0,1.0
lookback_6_bs_32_epochs_100_dmodel_64_heads_1,291.79101400696203,286.2325898015359,46.22451873001828,0.15841652590752978,5.5584242054261495,1.019419256938143,1.0,5.0,4.0
lookback_6_bs_32_epochs_150_dmodel_64_heads_1,301.1943191110223,288.7044794405583,58.28685139446114,0.19351909281189397,12.489839670463994,1.0432616760732856,2.0,6.0,4.0
lookback_6_bs_32_epochs_100_dmodel_64_heads_2,304.7722375971322,289.6206846921278,53.41579692847326,0.17526464139126002,15.151552905004394,1.0523151615400357,4.0,7.0,3.0
lookback_2_bs_32_epochs_200_dmodel_64_heads_4,322.9890895797896,289.9244631053999,75.27258421024146,0.23304992843000197,33.064626474389684,1.1140456590666146,18.0,8.0,10.0
lookback_4_bs_8_epochs_50_dmodel_64_heads_2,350.23692690592105,289.93505786087536,136.38383117993237,0.38940448794129334,60.30186904504569,1.207984055084437,41.0,9.0,32.0
lookback_2_bs_32_epochs_200_dmodel_128_heads_2,311.0054816729199,293.2214539946313,65.40893366952162,0.21031440770009086,17.784027678288624,1.0606504996002586,7.0,10.0,3.0
lookback_7_bs_32_epochs_150_dmodel_64_heads_1,330.53228129219355,293.71389622952563,129.3715242520751,0.39140359830000837,36.818385062667915,1.1253545900800548,24.0,11.0,13.0
