Model,Train RMSE,Train RMSE Std,Train MAE,Train MAE Std,Train MAPE (%),Train MAPE Std,Train MSE,Train MSE Std,Train PI Coverage (%),Test RMSE,Test RMSE Std,Test MAE,Test MAE Std,Test MAPE (%),Test MAPE Std,Test MSE,Test MSE Std,Test PI Coverage (%)
LSTM,324.745,215.026,243.358,215.026,4.29%,3.74%,105459.2,183804.8,100.0%,1699.897,714.474,1542.458,714.474,17.08%,7.21%,2889650.9,2128595.6,68.8%
Seq2Seq+Attn,269.268,165.476,212.422,165.476,3.78%,2.99%,72505.2,106310.5,100.0%,2541.988,797.757,2413.563,797.757,26.83%,7.38%,6461700.5,3354313.4,47.9%
Seq2Seq,269.451,161.256,215.872,161.256,3.82%,2.91%,72604.0,101910.1,100.0%,2638.697,821.746,2507.48,821.746,27.88%,7.61%,6962724.3,3565253.6,45.8%
TCN,343.129,218.682,264.416,218.682,4.54%,3.65%,117737.2,169108.5,100.0%,2232.832,1297.077,1817.452,1297.077,20.89%,15.62%,4985539.0,7088184.5,89.6%
Transformer,322.182,197.429,254.604,197.429,4.53%,3.71%,103801.4,132168.8,100.0%,2982.251,832.007,2863.841,832.007,31.97%,7.35%,8893822.9,4167796.1,43.8%
