model_name,mean_rmse,median_rmse,std_rmse,min_rmse,max_rmse,count_rmse,mean_mae,median_mae,std_mae,mean_mape,median_mape,std_mape,sum_compute_time,mean_compute_time,n_trials,n_seeds,total_evaluations
LSTM_Config2,807.1522,309.4773,1098.1408,297.4551,2771.0713,5,681.347,243.9774,962.3443,11.2715,4.1127,15.7642,46.0219,9.2044,5,1,5
LSTM_Config2,449.6582,315.4494,466.8059,276.675,2771.0713,30,372.6428,252.9893,408.1585,6.1752,4.2773,6.673,261.9686,8.7323,5,6,30
LSTM_Config2,542.3546,313.6643,601.616,273.0667,3025.3633,55,461.8289,256.4763,552.0105,7.6028,4.3133,8.9742,493.783,8.9779,5,11,55
LSTM_Config2,551.9294,314.8622,590.8815,273.0667,3025.3633,80,470.6521,256.6908,544.0013,7.7398,4.3539,8.8221,731.2334,9.1404,5,16,80
LSTM_Config2,515.6128,316.5827,527.0705,214.849,3025.3633,105,437.2167,259.0331,484.5576,7.201,4.3946,7.8551,970.3904,9.2418,5,21,105
LSTM_Config2,501.9747,317.0184,485.2489,214.849,3025.3633,130,423.2524,259.0689,445.6784,6.9757,4.3653,7.2219,1211.7694,9.3213,5,26,130
LSTM_Config2,532.65,316.5827,667.0598,214.849,6282.39,155,456.3182,259.0331,644.3303,7.5226,4.362,10.5101,1446.8408,9.3345,5,31,155
LSTM_Config2,553.2911,315.8074,762.2851,214.849,6282.39,180,476.1675,258.7838,744.2284,7.853,4.3299,12.1655,1681.1722,9.3398,5,36,180
LSTM_Config2,606.5437,316.6728,858.1207,214.849,6282.39,205,522.286,260.4909,818.4625,8.5947,4.369,13.3294,1916.7419,9.35,5,41,205
LSTM_Config2,600.4544,317.9395,820.8622,214.849,6282.39,230,515.6584,261.6374,781.5461,8.4823,4.3736,12.7245,2157.2672,9.3794,5,46,230
