model_name,seed,rmse,mae,mape,compute_time,success,seed_idx,trial
LSTM_Config2,42,299.6182,230.24785,3.8821496069431305,9.726001024246216,True,0,0
LSTM_Config2,43,2771.0713,2401.996,39.458167552948,9.07168173789978,True,0,1
LSTM_Config2,44,358.1394,302.32727,5.042004585266113,8.95903205871582,True,0,2
LSTM_Config2,45,309.47726,243.97737,4.112694784998894,9.402817964553833,True,0,3
LSTM_Config2,46,297.45508,228.18633,3.8623418658971786,8.862377882003784,True,0,4
LSTM_Config2,47,299.09885,246.60913,4.1234128177165985,8.910794019699097,True,0,5
LSTM_Config2,48,396.2786,305.2133,5.16231544315815,9.67694091796875,True,0,6
LSTM_Config2,49,345.5956,299.29745,4.936325177550316,9.17473030090332,True,0,7
LSTM_Config2,50,304.55157,227.18315,3.8395632058382034,9.03024697303772,True,0,8
LSTM_Config2,51,287.31808,214.25195,3.633465990424156,9.571324348449707,True,0,9
LSTM_Config2,52,332.98315,287.63968,4.723845049738884,9.075679302215576,True,0,10
LSTM_Config2,53,288.42642,225.55708,3.794398531317711,8.98037075996399,True,0,11
LSTM_Config2,54,292.08646,233.63615,3.923020511865616,9.652077674865723,True,0,12
LSTM_Config2,55,315.75122,253.79097,4.248464107513428,9.239321947097778,True,0,13
LSTM_Config2,56,305.4548,244.94434,4.105766490101814,9.085268020629883,True,0,14
LSTM_Config2,57,310.81332,239.63432,4.037407413125038,9.66230058670044,True,0,15
LSTM_Config2,58,316.00284,267.24557,4.424583539366722,9.110152244567871,True,0,16
LSTM_Config2,59,312.3141,261.35754,4.320497810840607,9.045883893966675,True,0,17
LSTM_Config2,60,355.74573,298.4446,4.911892116069794,9.414209365844727,True,0,18
LSTM_Config2,61,829.63666,759.48785,12.604725360870361,9.031577110290527,True,0,19
LSTM_Config2,62,305.82156,210.65527,3.628643974661827,9.11486291885376,True,0,20
LSTM_Config2,63,283.16678,235.85759,3.9438366889953613,9.481869459152222,True,0,21
LSTM_Config2,64,652.2516,569.91736,9.1505765914917,8.965813875198364,True,0,22
LSTM_Config2,65,308.35587,261.69617,4.358169808983803,9.093178510665894,True,0,23
