True,Pred
4484,5062.515
4911,5034.5713
5218,5186.5464
5759,5403.291
5456,5751.9976
5359,5843.5103
5305,5854.186
5769,5834.7373
5565,6007.8013
5367,6032.196
5633,5964.3584
5664,6028.7915
6082,6081.493
6505,6282.175
5813,6576.7236
6379,6472.547
6091,6634.3105
6219,6615.6113
6052,6653.9937
6105,6608.1787
6030,6601.1035
5969,6566.5093
5707,6520.41
5681,6385.601
6052,6293.1543
5904,6389.494
5426,6391.2393
6005,6196.5435
5766,6312.456
5946,6289.453
5981,6348.045
6104,6398.4424
5991,6478.7983
5670,6481.1133
5709,6349.9805
5416,6284.9214
5793,6127.245
